year,Base case diesel consumed,Allakaket (unnamed stream nw) -- unnamed creek,Alatna/ allakaket (unnamed creek 2.5 mi s of) -- unnamed creek
2021,53121.2257503,32932.3300593,37486.208087
2022,53121.2257503,32932.3300593,37486.208087
2023,53121.2257503,32932.3300593,37486.208087
2024,53121.2257503,32932.3300593,37486.208087
2025,53121.2257503,32932.3300593,37486.208087
2026,53121.2257503,32932.3300593,37486.208087
2027,53040.3019333,32851.4062424,37405.2842701
2028,53040.3019333,32851.4062424,37405.2842701
2029,53040.3019333,32851.4062424,37405.2842701
2030,53040.3019333,32851.4062424,37405.2842701
2031,52959.3781164,32770.4824255,37324.3604532
2032,52959.3781164,32770.4824255,37324.3604532
2033,52959.3781164,32770.4824255,37324.3604532
2034,52959.3781164,32770.4824255,37324.3604532
2035,52959.3781164,32770.4824255,37324.3604532
2036,52878.4542995,32689.5586086,37243.4366363
2037,52878.4542995,32689.5586086,37243.4366363
2038,52878.4542995,32689.5586086,37243.4366363
2039,52878.4542995,32689.5586086,37243.4366363
2040,52878.4542995,32689.5586086,37243.4366363
2041,52878.4542995,32689.5586086,37243.4366363
2042,52797.5304826,32608.6347917,37162.5128194
2043,52797.5304826,32608.6347917,37162.5128194
2044,52797.5304826,32608.6347917,37162.5128194
2045,52797.5304826,32608.6347917,37162.5128194
2046,52797.5304826,32608.6347917,37162.5128194
2047,52797.5304826,32608.6347917,37162.5128194
2048,52797.5304826,32608.6347917,37162.5128194
2049,52797.5304826,32608.6347917,37162.5128194
2050,52797.5304826,32608.6347917,37162.5128194
2051,52797.5304826,32608.6347917,37162.5128194
2052,52797.5304826,32608.6347917,37162.5128194
2053,52797.5304826,32608.6347917,37162.5128194
2054,52797.5304826,32608.6347917,37162.5128194
2055,52797.5304826,32608.6347917,37162.5128194
2056,52797.5304826,32608.6347917,37162.5128194
2057,52797.5304826,32608.6347917,37162.5128194
2058,52797.5304826,32608.6347917,37162.5128194
2059,52797.5304826,32608.6347917,37162.5128194
2060,52797.5304826,32608.6347917,37162.5128194
2061,52797.5304826,32608.6347917,37162.5128194
2062,52797.5304826,32608.6347917,37162.5128194
2063,52797.5304826,32608.6347917,37162.5128194
2064,52797.5304826,32608.6347917,37162.5128194
2065,52797.5304826,32608.6347917,37162.5128194
2066,52797.5304826,32608.6347917,37162.5128194
2067,52797.5304826,32608.6347917,37162.5128194
2068,52797.5304826,32608.6347917,37162.5128194
2069,52797.5304826,32608.6347917,37162.5128194
2070,52797.5304826,32608.6347917,37162.5128194
