year,Base case cost,Allakaket (unnamed stream nw) -- unnamed creek,Alatna/ allakaket (unnamed creek 2.5 mi s of) -- unnamed creek
2021,268793.402296,879195.77471,451146.192185
2022,274105.524871,868749.420547,450009.208794
2023,278355.222931,857929.62575,448208.496242
2024,281542.496476,846728.728399,445741.282082
2025,285260.982279,836189.770032,443777.88916
2026,290041.892596,826655.618216,442706.683542
2027,293312.869691,816270.930125,440513.534098
2028,296495.287807,806269.073874,438477.091386
2029,300738.511962,797249.496372,437323.651514
2030,303390.527059,787458.725036,435099.805443
2031,307164.393075,778517.104223,433675.051903
2032,311930.737106,770650.998473,433198.12897
2033,316697.081136,763042.778056,432814.521184
2034,321463.425167,755686.398944,432522.041531
2035,324640.987854,747530.290031,431150.379263
2036,328903.985743,740156.67799,430530.45229
2037,332076.693001,732470.433604,429325.710795
2038,336835.753888,726056.478174,429369.596981
2039,340537.245689,719170.708919,428717.256423
2040,345296.306576,713198.870925,428921.121672
2041,345296.306576,704310.628584,425704.933933
2042,344767.874052,695102.271893,422035.693069
2043,344767.874052,686625.783484,418968.497437
2044,344767.874052,678347.962741,415973.189191
2045,344767.874052,670264.153453,413048.083493
2046,344767.874052,662369.808434,410191.534957
2047,344767.874052,654660.487146,407401.936784
2048,344767.874052,647131.853076,404677.719818
2049,344767.874052,639779.671298,402017.351662
2050,344767.874052,632599.806329,399419.335903
2051,344767.874052,625588.219456,396882.211141
2052,344767.874052,618740.966646,394404.55024
2053,344767.874052,612054.196348,391984.959525
2054,344767.874052,605524.147174,389622.077948
2055,344767.874052,599147.146049,387314.576415
2056,344767.874052,592919.605893,385061.156951
2057,344767.874052,586838.023717,382860.552009
2058,344767.874052,580898.9786,380711.523736
2059,344767.874052,575099.129899,378612.863331
2060,344767.874052,569435.215115,376563.390265
2061,344767.874052,563904.048337,374561.951726
2062,344767.874052,558502.518282,372607.421903
2063,344767.874052,553227.586573,370698.701367
2064,344767.874052,548076.286123,368834.716486
2065,344767.874052,543045.719239,367014.418736
2066,344767.874052,538133.056249,365236.784209
2067,344767.874052,533335.533839,363500.813006
2068,344767.874052,528650.453321,361805.528614
2069,344767.874052,524075.179391,360149.977455
2070,344767.874052,519607.138456,358533.22828
