year,Base case cost,Modeled diesel efficiency
2019,250050.102966,414765.559486
2020,260825.218434,420167.823282
2021,268793.402296,423121.298941
2022,274105.524871,423760.727987
2023,278355.222931,423532.514387
2024,281542.496476,422434.356605
2025,285260.982279,421912.767796
2026,290041.892596,422448.473298
2027,293312.869691,421700.822617
2028,296495.287807,420959.880933
2029,300738.511962,421268.481421
2030,303390.527059,420213.70501
2031,307164.393075,420260.020372
2032,311930.737106,421287.912059
2033,316697.081136,422393.268135
2034,321463.425167,423574.273081
2035,324640.987854,423384.807156
2036,328903.985743,424254.24486
2037,332076.693001,424202.962749
2038,336835.753888,425662.622527
