year,Base case diesel consumed,Modeled solar power (pv)
2016,53202.1495672,52600.237088
2017,53202.1495672,52605.0523878
2018,53202.1495672,52609.8291652
2019,53202.1495672,52614.5677284
2020,53121.2257503,52538.3445663
2021,53121.2257503,52543.0076157
2022,53121.2257503,52547.6333608
2023,53121.2257503,52552.2220999
2024,53121.2257503,52556.7741291
2025,53121.2257503,52561.2897421
2026,53121.2257503,52565.7692302
2027,53040.3019333,52489.2890654
2028,53040.3019333,52493.6971684
2029,53040.3019333,52498.0700065
2030,53040.3019333,52502.4078619
2031,52959.3781164,52425.7871976
2032,52959.3781164,52430.0559249
2033,52959.3781164,52434.2905024
2034,52959.3781164,52438.4912033
2035,52959.3781164,52442.6582987
