year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.5
2004,,2.45,2.5
2008,,5.27,5.5
2009,,4.36,6.75
2010,,4.61,7.0
2012,,5.94,6.5
2013,,6.15,6.75
2014,,5.84,7.0
2016,start of forecast,3.42,4.97
2017,,3.9,5.45
2018,,4.25,5.8
2019,,4.7,6.25
2020,,4.91,6.46
2021,,5.06,6.61
2022,,5.16,6.71
2023,,5.24,6.79
2024,,5.3,6.85
2025,,5.37,6.92
2026,,5.46,7.01
2027,,5.53,7.08
2028,,5.59,7.14
2029,,5.67,7.22
2030,,5.72,7.27
2031,,5.8,7.35
2032,,5.89,7.44
2033,,5.98,7.53
2034,,6.07,7.62
2035,,6.13,7.68
2036,,6.22,7.77
2037,,6.28,7.83
2038,,6.37,7.92
2039,,6.44,7.99
2040,,6.53,8.08
