year,Base case diesel consumed,"Chuathbaluk, alaska heat recovery study"
2019,35877.5142161,33977.5142161
2020,35877.5142161,33977.5142161
2021,35877.5142161,33977.5142161
2022,35877.5142161,33977.5142161
2023,35877.5142161,33977.5142161
2024,35877.5142161,33977.5142161
2025,35877.5142161,33977.5142161
2026,35877.5142161,33977.5142161
2027,35877.5142161,33977.5142161
2028,35877.5142161,33977.5142161
2029,35877.5142161,33977.5142161
2030,35877.5142161,33977.5142161
2031,35877.5142161,33977.5142161
