year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,4778.58,200947.0,200947.0
2004,,4778.58,217234.0,217234.0
2005,,4778.58,247216.0,247216.0
2006,,4778.58,279508.0,279508.0
2007,,4778.58,239240.0,239240.0
2008,,4778.58,253814.0,253814.0
2009,,4778.58,294180.0,294180.0
2010,,4778.58,325886.0,325886.0
2011,,4778.58,288739.0,288739.0
2012,,4778.58,271800.0,271800.0
2013,,4778.58,116074.0,116074.0
2014,start of forecast,4778.58,293000.0,293000.0
2015,,4778.58,295000.0,295000.0
2016,,4778.58,296000.0,296000.0
2017,,4778.58,298000.0,298000.0
2018,,4778.58,299000.0,299000.0
2019,,4778.58,301000.0,301000.0
2020,,4778.58,302000.0,302000.0
2021,,4778.58,304000.0,304000.0
2022,,4778.58,306000.0,306000.0
2023,,4778.58,307000.0,307000.0
2024,,4778.58,308000.0,308000.0
2025,,4778.58,309000.0,309000.0
2026,,4778.58,311000.0,311000.0
2027,,4778.58,312000.0,312000.0
2028,,4778.58,314000.0,314000.0
2029,,4778.58,315000.0,315000.0
2030,,4778.58,316000.0,316000.0
2031,,4778.58,318000.0,318000.0
2032,,4778.58,319000.0,319000.0
2033,,4778.58,321000.0,321000.0
2034,,4778.58,323000.0,323000.0
2035,,4778.58,324000.0,324000.0
2036,,4778.58,326000.0,326000.0
2037,,4778.58,327000.0,327000.0
2038,,4778.58,328000.0,328000.0
2039,,4778.58,330000.0,330000.0
2040,,4778.58,332000.0,332000.0
