year,Base case cost,"Chuathbaluk, alaska heat recovery study"
2019,204866.062713,211624.315971
2020,212400.340699,218759.593957
2021,217423.192689,223516.445947
2022,221369.719253,227253.972511
2023,224239.92039,229972.173648
2024,226392.571243,232010.824501
2025,228903.997238,234389.250496
2026,232132.973517,237447.226776
2027,235003.174655,240165.427913
2028,237155.825508,242204.078766
2029,240026.026645,244922.279903
2030,242178.677498,246960.930756
2031,245407.653777,250018.907036
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
