year,Base case diesel consumed,Modeled residential energy efficiency
2017,35174.3960708,25305.1628839
2018,36255.4090041,26386.1758173
2019,37336.4219375,27467.1887506
2020,37336.4219375,27467.1887506
2021,38417.4348708,28548.2016839
2022,39498.4478041,29629.2146173
2023,40579.4607375,30710.2275506
2024,40579.4607375,30710.2275506
2025,41660.4736708,31791.240484
2026,42741.4866042,32872.2534173
2027,42741.4866042,32872.2534173
2028,43822.4995375,33953.2663507
2029,44903.5124709,35034.279284
2030,45984.5254042,36115.2922174
2031,45984.5254042,36115.2922174
2032,47065.5383376,37196.3051507
2033,48146.5512709,38277.3180841
2034,49227.5642043,39358.3310174
2035,49227.5642043,39358.3310174
2036,50308.5771376,40439.3439508
