year,Base case diesel consumed,Modeled non-residential ashp
2017,35877.5142161,25114.259962
2018,35877.5142161,25114.259962
2019,35877.5142161,25114.259962
2020,35877.5142161,25114.259962
2021,35877.5142161,25114.259962
2022,35877.5142161,25114.259962
2023,35877.5142161,25114.259962
2024,35877.5142161,25114.259962
2025,35877.5142161,25114.259962
2026,35877.5142161,25114.259962
2027,35877.5142161,25114.259962
2028,35877.5142161,25114.259962
2029,35877.5142161,25114.259962
2030,35877.5142161,25114.259962
2031,35877.5142161,25114.259962
