year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,32634.227431,24241.6282989
2018,32634.227431,24241.6282989
2019,32634.227431,24241.6282989
2020,32634.227431,24241.6282989
2021,32634.227431,24241.6282989
2022,32634.227431,24241.6282989
2023,32634.227431,24241.6282989
2024,32634.227431,24241.6282989
2025,32634.227431,24241.6282989
2026,32634.227431,24241.6282989
2027,32634.227431,24241.6282989
2028,32634.227431,24241.6282989
2029,32634.227431,24241.6282989
2030,32634.227431,24241.6282989
2031,32634.227431,24241.6282989
