year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,87751.0,79246.9998757
2018,88977.0,80472.9998757
2019,90202.0,81697.9998757
2020,91428.0,82923.9998757
2021,92654.0,84149.9998757
2022,92654.0,84149.9998757
2023,93880.0,85375.9998757
2024,95106.0,86601.9998757
2025,96331.0,87826.9998757
2026,96331.0,87826.9998757
2027,97557.0,89052.9998757
2028,98783.0,90278.9998757
2029,98783.0,90278.9998757
2030,100009.0,91504.9998757
2031,101235.0,92730.9998757
2032,102460.0,93955.9998757
2033,102460.0,93955.9998757
2034,103686.0,95181.9998757
2035,104912.0,96407.9998757
2036,104912.0,96407.9998757
