year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,87103.04,15112.52,36638.63,86599.81
2018,88354.38,15188.14,36638.63,88761.84
2019,89605.72,15264.47,36638.63,89842.85
2020,91145.83,15356.1,36638.63,90923.86
2021,92397.17,15429.76,36638.63,93085.89
2022,93552.25,15496.91,36638.63,94166.9
2023,94707.33,15565.85,36638.63,95247.92
2024,95862.41,15635.18,36638.63,96328.93
2025,97113.75,15708.35,36638.63,98490.96
2026,98365.09,15786.04,36638.63,99571.97
2027,100001.46,15884.0,36638.63,101733.99
2028,101445.31,15965.6,36638.63,102815.01
2029,103274.19,16074.28,36638.63,104977.03
2030,104621.79,16157.03,36638.63,106058.05
2031,106065.64,16241.02,36638.63,108220.07
2032,107413.24,16324.53,36638.63,109301.08
2033,108857.09,16409.04,36638.63,111463.11
2034,110493.45,16505.38,36638.63,112544.12
2035,111841.05,16586.64,36638.63,114706.15
2036,113284.9,16670.9,36638.63,115787.16
2037,114728.76,16758.83,36638.63,117949.19
2038,115980.09,16830.93,36638.63,119030.2
2039,117423.95,16920.26,36638.63,120111.21
2040,119445.34,17039.19,36638.63,122273.24
