year,Base case cost,Tuntutuliak heat recovery
2019,782459.477866,782288.557639
2020,816089.226265,813948.011951
2021,849178.826334,845393.382248
2022,870525.100931,865359.600428
2023,887689.485832,881346.22164
2024,903528.840733,896086.785045
2025,927676.64065,919091.454988
2026,948484.39692,938649.891755
2027,973385.130639,962440.524781
2028,990049.037517,978071.717317
2029,1017124.48276,1004007.11105
2030,1030986.61979,1016990.19465
2031,1060062.50138,1044894.61469
2032,1082332.22856,1066007.37434
2033,1112119.38015,1094651.71272
2034,1134987.99916,1116391.3411
2035,1160435.66044,1140907.86035
2036,1183704.71762,1163074.60774
2037,1209735.87982,1188200.68342
2038,1233401.23518,1210789.17382
