year,Base case diesel consumed,Tuntutuliak heat recovery
2019,141746.0,135601.0
2020,142919.0,136774.0
2021,145155.0,139010.0
2022,146303.0,140158.0
2023,147453.0,141308.0
2024,148603.0,142458.0
2025,150838.0,144693.0
2026,151997.0,145852.0
2027,154257.0,148112.0
2028,155420.0,149275.0
2029,157690.0,151545.0
2030,158854.0,152709.0
2031,161100.0,154955.0
2032,162265.0,156120.0
2033,164511.0,158366.0
2034,165688.0,159543.0
2035,167932.0,161787.0
2036,169097.0,162952.0
2037,171347.0,165202.0
2038,172500.0,166355.0
