year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.85
2003,,,
2004,,,1.85
2005,,2.6,3.95
2006,,2.7,4.67
2008,,4.19,6.56
2009,,3.6,4.03
2010,,2.97,4.25
2011,,3.41,6.12
2012,,4.59,6.8
2013,,4.54,6.8
2014,,,5.97
2016,,2.17,4.37
2017,,2.59,4.79
2018,,2.9,5.1
2019,,3.32,5.52
2020,,3.51,5.71
2021,,3.65,5.85
2022,,3.75,5.95
2023,,3.82,6.02
2024,,3.88,6.08
2025,,3.95,6.15
2026,,4.04,6.24
2027,,4.11,6.31
2028,,4.17,6.37
2029,,4.25,6.45
2030,,4.29,6.49
2031,,4.38,6.58
2032,,4.47,6.67
2033,,4.56,6.76
2034,,4.65,6.85
2035,,4.71,6.91
2036,,4.8,7.0
2037,,4.86,7.06
2038,,4.95,7.15
2039,,5.02,7.22
2040,,5.13,7.33
