year,Base case diesel consumed,Modeled transmission and interties
2021,92397.1688332,-16661.8274648
2022,93552.250877,-16661.8274648
2023,94707.3329207,-16661.8274648
2024,95862.4149645,-16661.8274648
2025,97113.7538452,-16661.8274648
2026,98365.092726,-16661.8274648
2027,100001.458955,-16661.8274648
2028,101445.311509,-16661.8274648
2029,103274.191412,-16661.8274648
2030,104621.78713,-16661.8274648
2031,106065.639684,-16661.8274648
2032,107413.235402,-16661.8274648
2033,108857.087957,-16661.8274648
2034,110493.454185,-16661.8274648
2035,111841.049903,-16661.8274648
2036,113284.902458,-16661.8274648
2037,114728.755013,-16661.8274648
2038,115980.093893,-16661.8274648
2039,117423.946448,-16661.8274648
2040,119445.340025,-16661.8274648
