year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,36638.6288005,26992.2053123
2018,36638.6288005,26992.2053123
2019,36638.6288005,26992.2053123
2020,36638.6288005,26992.2053123
2021,36638.6288005,26992.2053123
2022,36638.6288005,26992.2053123
2023,36638.6288005,26992.2053123
2024,36638.6288005,26992.2053123
2025,36638.6288005,26992.2053123
2026,36638.6288005,26992.2053123
2027,36638.6288005,26992.2053123
2028,36638.6288005,26992.2053123
2029,36638.6288005,26992.2053123
2030,36638.6288005,26992.2053123
2031,36638.6288005,26992.2053123
