year,Base case diesel consumed,Modeled residential ashp
2017,38325.4028856,5234.2564453
2018,39297.784227,6206.63778675
2019,39297.784227,6206.63778675
2020,39297.784227,6206.63778675
2021,40270.1655685,7179.01912819
2022,40270.1655685,7179.01912819
2023,41242.5469099,8151.40046963
2024,41242.5469099,8151.40046963
2025,41242.5469099,8151.40046963
2026,42214.9282513,9123.78181108
2027,43187.3095928,10096.1631525
2028,43187.3095928,10096.1631525
2029,43187.3095928,10096.1631525
2030,44159.6909342,11068.544494
2031,44159.6909342,11068.544494
