year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9433.42918045,3162.61179082
2018,9441.69978514,3165.38455896
2019,9450.11744535,3168.20662832
2020,9458.50614816,3171.01898954
2021,9466.7802224,3173.79292087
2022,9475.09019314,3176.57888671
2023,9483.4041672,3179.36619468
2024,9491.92364533,3182.22239909
2025,9500.53960361,3185.11094903
2026,9509.29047399,3188.04472902
2027,9517.97368815,3190.95582688
2028,9526.64142279,3193.86173514
2029,9536.48666906,3197.162411
2030,9546.11480161,3200.39029822
2031,9555.40411933,3203.50459581
