year,Base case cost,Modeled solar power
2020,258079.490525,266243.961842
2021,269190.200057,276933.382399
2022,277845.569074,285226.025282
2023,284496.428639,291555.031895
2024,290263.982391,297024.461325
2025,296301.74108,302771.214094
2026,304017.266838,310170.837179
2027,311088.11886,316948.903611
2028,317267.58829,322858.16832
2029,324439.767163,329751.097848
2030,329758.69261,334828.23336
2031,337985.258139,342773.076068
2032,346009.169967,350521.836672
2033,354084.479472,358328.426013
2034,362211.186655,366192.706626
2035,368723.27249,372478.160614
2036,377927.128159,381416.840149
2037,383555.908179,386844.906743
2038,392868.433225,395903.932548
2039,400263.09062,403079.674541
