year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,285308.0,242435.031725
2018,287803.0,244930.031725
2019,290296.0,247423.031725
2020,291547.0,248674.031725
2021,294040.0,251167.031725
2022,296533.0,253660.031725
2023,297784.0,254911.031725
2024,300278.0,257405.031725
2025,302772.0,259899.031725
2026,305265.0,262392.031725
2027,306517.0,263644.031725
2028,309011.0,266138.031725
2029,311505.0,268632.031725
2030,314000.0,271127.031725
2031,316494.0,273621.031725
2032,318988.0,276115.031725
2033,320239.0,277366.031725
2034,322732.0,279859.031725
2035,323983.0,281110.031725
2036,326476.0,283603.031725
