year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.55
2004,,1.62,2.15
2005,,1.85,3.95
2006,,1.85,4.74
2008,,3.11,5.89
2009,,4.09,8.09
2010,,3.0,4.95
2011,,3.08,3.97
2012,,3.6,5.17
2013,,3.66,5.5
2014,,,5.36
2016,,1.75,4.21
2017,,2.08,4.54
2018,,2.33,4.79
2019,,2.67,5.13
2020,,2.83,5.29
2021,,2.94,5.4
2022,,3.02,5.48
2023,,3.08,5.54
2024,,3.13,5.59
2025,,3.18,5.64
2026,,3.25,5.71
2027,,3.31,5.77
2028,,3.36,5.82
2029,,3.42,5.88
2030,,3.46,5.92
2031,,3.53,5.99
2032,,3.6,6.06
2033,,3.67,6.13
2034,,3.74,6.2
2035,,3.79,6.25
2036,,3.87,6.33
2037,,3.91,6.37
2038,,3.99,6.45
2039,,4.05,6.51
2040,,4.13,6.59
