year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,90019.36,9433.43,164525.66,111349.49
2018,90386.49,9441.7,164525.66,113834.6
2019,90827.04,9450.12,164525.66,116319.71
2020,91194.17,9458.51,164525.66,117562.27
2021,91561.29,9466.78,164525.66,120047.38
2022,92001.84,9475.09,164525.66,122532.49
2023,92368.97,9483.4,164525.66,123775.05
2024,92736.1,9491.92,164525.66,126260.16
2025,93176.65,9500.54,164525.66,128745.27
2026,93543.77,9509.29,164525.66,131230.38
2027,93984.33,9517.97,164525.66,132472.94
2028,94424.88,9526.64,164525.66,134958.05
2029,94865.43,9536.49,164525.66,137443.16
2030,95305.98,9546.11,164525.66,139928.27
2031,95746.53,9555.4,164525.66,142413.38
2032,96113.66,9563.72,164525.66,144898.5
2033,96480.78,9571.7,164525.66,146141.05
2034,96847.91,9579.63,164525.66,148626.16
2035,97288.46,9587.76,164525.66,149868.72
2036,97655.59,9596.22,164525.66,152353.83
2037,98096.14,9604.96,164525.66,154838.94
2038,98463.27,9613.47,164525.66,157324.05
2039,98830.39,9621.34,164525.66,158566.61
2040,99197.52,9628.75,164525.66,161051.72
