year,Base case diesel consumed,Elim wind feasibility,Modeled wind power
2019,90827.03999,67147.0344084,65934.6181226
2020,91194.1662632,67514.1606816,66301.7443958
2021,91561.2925364,67881.2869548,66668.870669
2022,92001.8440642,68321.8384827,67109.4221969
2023,92368.9703374,68688.9647559,67476.5484701
2024,92736.0966106,69056.0910291,67843.6747433
2025,93176.6481384,69496.6425569,68284.2262711
2026,93543.7744116,69863.7688301,68651.3525443
2027,93984.3259395,70304.3203579,69091.9040722
2028,94424.8774673,70744.8718858,69532.4556
2029,94865.4289952,71185.4234136,69973.0071279
2030,95305.980523,71625.9749415,70413.5586557
2031,95746.5320508,72066.5264693,70854.1101835
2032,96113.6583241,72433.6527425,71221.2364567
2033,96480.7845973,72800.7790157,71588.3627299
2034,96847.9108705,73167.9052889,71955.4890031
2035,97288.4623983,73608.4568168,72396.040531
2036,97655.5886715,73975.58309,72763.1668042
2037,98096.1401993,74416.1346178,73203.718332
2038,98463.2664725,74783.260891,73570.8446052
