year,Base case cost,Elim wind feasibility,Modeled wind power
2019,242508.196773,382338.927691,414158.977621
2020,258079.490525,390779.006024,421821.606556
2021,269190.200057,395858.190141,426189.309416
2022,277845.569074,399176.312826,428840.935444
2023,284496.428639,400980.477385,430012.935894
2024,290263.982391,402188.208796,430612.191386
2025,296301.74108,403749.387147,431577.945179
2026,304017.266838,406666.357782,433891.589515
2027,311088.11886,409219.67329,435864.349067
2028,317267.58829,411160.764261,437247.362714
2029,324439.767163,413968.639897,439498.707558
2030,329758.69261,415400.461652,440406.237666
2031,337985.258139,419207.2257,443669.059501
2032,346009.169967,422881.844742,446810.791258
2033,354084.479472,426676.717627,450083.572689
2034,362211.186655,430590.230531,453485.536942
2035,368723.27249,433358.054203,455772.754875
2036,377927.128159,438276.876316,460190.054835
2037,383555.908179,440489.778675,461952.548209
2038,392868.433225,445641.051021,466621.705775
