year,Base case diesel consumed,Modeled solar power
2020,91194.1662632,89522.6583958
2021,91561.2925364,89903.156732
2022,92001.8440642,90356.9733463
2023,92368.9703374,90737.2585852
2024,92736.0966106,91117.4385524
2025,93176.6481384,91570.9393447
2026,93543.7744116,91950.9112883
2027,93984.3259395,92404.2057211
2028,94424.8774673,92857.3982107
2029,94865.4289952,93310.4895726
2030,95305.980523,93763.4806158
2031,95746.5320508,94216.3721429
2032,96113.6583241,94595.7396954
2033,96480.7845973,94975.0093176
2034,96847.9108705,95354.181793
2035,97288.4623983,95806.6831535
2036,97655.5886715,96185.6636607
2037,98096.1401993,96637.9745886
2038,98463.2664725,97016.7661867
2039,98830.3927457,97395.4644622
