year,Base case cost,Elim (quiktalik creek),Elim (creek at elim) -- unnamed creek,Elim (peterson creek),"Golovin (kwiniuk river, west tributary)"
2021,269190.200057,709883.597944,711862.00084,1510921.18908,1317463.54719
2022,277845.569074,708574.491659,711079.91725,1490187.6262,1301578.38949
2023,284496.428639,705683.041615,708628.655779,1468842.72817,1284822.98976
2024,290263.982391,702221.367066,705561.53813,1447604.64391,1267997.95829
2025,296301.74108,699234.012072,702964.308255,1427224.16813,1251936.49697
2026,304017.266838,697915.618719,702113.899178,1408317.85835,1237417.66792
2027,311088.11886,696251.278423,700872.223152,1389715.68481,1223033.14294
2028,317267.58829,693989.720135,698988.108185,1371157.80952,1208525.18588
2029,324439.767163,692802.444307,698215.338532,1353738.26515,1195150.18271
2030,329758.69261,690151.341342,695892.618465,1335764.4238,1180977.05915
2031,337985.258139,690272.71547,696461.812134,1320041.85777,1169214.09656
2032,346009.169967,690364.327648,696997.489991,1304614.18803,1157666.37673
2033,354084.479472,690676.177143,697749.739282,1289723.80476,1146578.15668
2034,362211.186655,691204.306758,698714.688731,1275359.31988,1135939.87147
2035,368723.27249,690486.969062,698348.487747,1260620.83036,1124693.09792
2036,377927.128159,692306.441226,700638.963103,1247860.77391,1115592.76381
2037,383555.908179,691120.668649,699756.485487,1233522.02959,1104522.39411
2038,392868.433225,693352.328623,702452.558595,1221744.11157,1096264.36344
2039,400263.09062,694020.702061,703499.978457,1209247.00449,1087059.37393
2040,409685.753548,696651.957663,706589.362425,1198412.22941,1079611.12914
2041,410898.738755,692045.740708,702109.493229,1182878.64336,1066758.52743
2042,412414.970263,687879.157606,698066.296609,1168040.80137,1054538.83421
2043,413931.201772,683845.765418,694153.399035,1153586.25783,1042641.07661
2044,415144.186978,679639.196272,690064.500409,1139202.78314,1030754.46316
2045,416660.418486,675862.89424,686403.110995,1125488.0968,1019478.11788
2046,417873.403693,671907.389658,682559.825766,1111827.13879,1008198.35231
2047,419086.3889,668073.021575,678835.046893,1098514.78887,997211.385628
2048,420299.374106,664356.950792,675225.996826,1085542.87638,986510.355218
2049,421512.359313,660756.404775,671729.963225,1072903.42247,976088.559588
2050,422725.34452,657268.6759,668344.297257,1060588.63511,965939.454144
2051,422725.34452,652678.134811,663853.426976,1047377.91974,954843.662507
2052,422725.34452,648195.18451,659467.811448,1034476.83045,944007.928443
2053,422725.34452,643817.303393,655184.98382,1021878.11055,933426.156982
2054,422725.34452,639542.028836,651002.534936,1009574.67306,923092.39572
2055,422725.34452,635366.956028,646918.1122,997559.597399,913000.831994
2056,422725.34452,631289.736492,642929.418123,985826.125076,903145.789298
2057,422725.34452,627308.076776,639034.209053,974367.655976,893521.724135
2058,422725.34452,623419.737246,635230.29398,963177.744849,884123.223087
2059,422725.34452,619622.530645,631515.533139,952250.097182,874944.999337
2060,422725.34452,615914.321061,627887.836992,941578.56622,865981.890176
2061,422725.34452,612293.02267,624345.165004,931157.149352,857228.85396
2062,422725.34452,608756.59843,620885.524362,920979.984358,848680.966959
2063,422725.34452,605303.059143,617506.969056,911041.346696,840333.421082
2064,422725.34452,601930.462192,614207.59865,901335.645882,832181.520835
2065,422725.34452,598636.910512,610985.557266,891857.422515,824220.680821
2066,422725.34452,595420.551374,607839.032404,882601.34479,816446.422812
2067,422725.34452,592279.575711,604766.254275,873562.206556,808854.374117
2068,422725.34452,589212.216641,601765.494359,864734.923053,801440.264003
2069,422725.34452,586216.74883,598835.064784,856114.529096,794199.92217
2070,422725.34452,583291.487286,595973.317143,847696.175592,787129.275823
