year,Base case cost,Modeled biomass for heat (cordwood)
2017,1295173.1081,1321037.27351
2018,1378450.06313,1391147.7749
2019,1489091.07904,1484821.14999
2020,1542155.68002,1528691.27954
2021,1587686.95593,1567226.45424
2022,1624870.70184,1598753.72724
2023,1649592.67282,1618728.87144
2024,1678422.23829,1643291.30344
2025,1707501.20375,1668152.90464
2026,1742929.17966,1698554.65963
2027,1768468.5702,1719544.02251
2028,1798308.40567,1745308.91117
2029,1831512.69114,1774054.78495
2030,1858742.19617,1797727.54158
2031,1895660.16164,1829845.73747
2032,1932927.28711,1862355.2495
2033,1962924.52809,1887636.04515
2034,2000796.76399,1920832.03895
2035,2024751.56497,1941007.31814
2036,2066449.80088,1977678.18399
