year,Base case diesel consumed,Modeled diesel efficiency
2019,90827.03999,82570.0363545
2020,91194.1662632,82903.787512
2021,91561.2925364,83237.5386694
2022,92001.8440642,83638.0400584
2023,92368.9703374,83971.7912158
2024,92736.0966106,84305.5423733
2025,93176.6481384,84706.0437622
2026,93543.7744116,85039.7949197
2027,93984.3259395,85440.2963086
2028,94424.8774673,85840.7976976
2029,94865.4289952,86241.2990865
2030,95305.980523,86641.8004755
2031,95746.5320508,87042.3018644
2032,96113.6583241,87376.0530219
2033,96480.7845973,87709.8041793
2034,96847.9108705,88043.5553368
2035,97288.4623983,88444.0567257
2036,97655.5886715,88777.8078832
2037,98096.1401993,89178.3092721
2038,98463.2664725,89512.0604296
