year,Base case diesel consumed,Elim (quiktalik creek),Elim (creek at elim) -- unnamed creek,Elim (peterson creek),"Golovin (kwiniuk river, west tributary)"
2021,91561.2925364,80017.2898154,84575.6908898,48452.81676,57343.684471
2022,92001.8440642,80457.8413432,85016.2424176,48893.3682879,57784.2359989
2023,92368.9703374,80824.9676164,85383.3686908,49260.4945611,58151.3622721
2024,92736.0966106,81192.0938896,85750.494964,49627.6208343,58518.4885453
2025,93176.6481384,81632.6454174,86191.0464919,50068.1723621,58959.0400731
2026,93543.7744116,81999.7716906,86558.1727651,50435.2986353,59326.1663463
2027,93984.3259395,82440.3232185,86998.7242929,50875.8501632,59766.7178742
2028,94424.8774673,82880.8747463,87439.2758208,51316.401691,60207.269402
2029,94865.4289952,83321.4262742,87879.8273486,51756.9532189,60647.8209298
2030,95305.980523,83761.977802,88320.3788765,52197.5047467,61088.3724577
2031,95746.5320508,84202.5293299,88760.9304043,52638.0562745,61528.9239855
2032,96113.6583241,84569.6556031,89128.0566775,53005.1825477,61896.0502587
2033,96480.7845973,84936.7818763,89495.1829507,53372.3088209,62263.1765319
2034,96847.9108705,85303.9081495,89862.3092239,53739.4350941,62630.3028051
2035,97288.4623983,85744.4596773,90302.8607517,54179.986622,63070.854333
2036,97655.5886715,86111.5859505,90669.9870249,54547.1128952,63437.9806062
2037,98096.1401993,86552.1374783,91110.5385528,54987.664423,63878.532134
2038,98463.2664725,86919.2637515,91477.664826,55354.7906962,64245.6584072
2039,98830.3927457,87286.3900247,91844.7910992,55721.9169694,64612.7846804
2040,99197.5190189,87653.5162979,92211.9173724,56089.0432426,64979.9109536
2041,99491.2200375,87947.2173165,92505.6183909,56382.7442612,65273.6119722
2042,99858.3463107,88314.3435897,92872.7446641,56749.8705344,65640.7382454
2043,100225.472584,88681.4698629,93239.8709373,57116.9968076,66007.8645186
2044,100519.173602,88975.1708815,93533.5719559,57410.6978261,66301.5655371
2045,100886.299876,89342.2971547,93900.6982291,57777.8240993,66668.6918103
2046,101180.000894,89635.9981732,94194.3992477,58071.5251179,66962.3928289
2047,101473.701913,89929.6991918,94488.1002662,58365.2261365,67256.0938475
2048,101767.402931,90223.4002103,94781.8012848,58658.927155,67549.794866
2049,102061.10395,90517.1012289,95075.5023034,58952.6281736,67843.4958846
2050,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2051,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2052,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2053,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2054,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2055,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2056,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2057,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2058,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2059,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2060,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2061,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2062,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2063,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2064,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2065,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2066,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2067,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2068,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2069,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
2070,102354.804968,90810.8022475,95369.2033219,59246.3291922,68137.1969032
