year,Base case cost,Modeled biomass for heat (pellet)
2017,229800.788597,273778.615109
2018,256669.728597,292945.767332
2019,293939.548597,319532.462352
2020,312141.088597,332516.662245
2021,324275.448597,341172.795507
2022,333809.588597,347974.04307
2023,340743.508597,352920.404935
2024,345943.948597,356630.176333
2025,352877.868597,361576.538197
2026,360678.528597,367141.195294
2027,367612.448597,372087.557158
2028,372812.888597,375797.328556
2029,380613.548597,381361.985653
2030,384947.248597,384453.461818
2031,393614.648597,390636.414148
2032,,
2033,,
2034,,
2035,,
2036,,
