year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,86674.0,61829.5233015
2018,86674.0,61829.5233015
2019,86674.0,61829.5233015
2020,86674.0,61829.5233015
2021,86674.0,61829.5233015
2022,86674.0,61829.5233015
2023,86674.0,61829.5233015
2024,86674.0,61829.5233015
2025,86674.0,61829.5233015
2026,86674.0,61829.5233015
2027,86674.0,61829.5233015
2028,86674.0,61829.5233015
2029,86674.0,61829.5233015
2030,86674.0,61829.5233015
2031,86674.0,61829.5233015
2032,,
2033,,
2034,,
2035,,
2036,,
