year,Base case cost,Modeled biomass for heat (cordwood)
2017,229800.788597,292722.518974
2018,256669.728597,312589.833723
2019,293939.548597,340147.721922
2020,312141.088597,353606.225462
2021,324275.448597,362578.561155
2022,333809.588597,369628.253485
2023,340743.508597,374755.302452
2024,345943.948597,378600.589178
2025,352877.868597,383727.638145
2026,360678.528597,389495.568233
2027,367612.448597,394622.617201
2028,372812.888597,398467.903926
2029,380613.548597,404235.834015
2030,384947.248597,407440.239619
2031,393614.648597,413849.050828
2032,,
2033,,
2034,,
2035,,
2036,,
