year,Base case cost,Modeled residential energy efficiency
2017,1167574.33584,1140727.78185
2018,1259197.58803,1217144.86402
2019,1367351.65586,1305024.03847
2020,1438628.64166,1366726.76906
2021,1488846.25112,1410186.08073
2022,1541699.80182,1457970.90809
2023,1577441.73389,1490333.69126
2024,1620813.57686,1530889.57682
2025,1667492.37522,1574189.22628
2026,1710286.95212,1612478.27132
2027,1758180.70631,1656992.87662
2028,1803746.21954,1699742.43244
2029,1855790.64846,1747844.52098
2030,1888867.27621,1778668.3828
2031,1942059.16342,1827917.92963
2032,1999081.112,1880434.34635
2033,2045959.29045,1922806.99294
2034,2093377.44928,1965719.61991
2035,2142840.94582,2012367.15903
2036,2191372.81416,2056393.49552
