year,Base case cost,Modeled diesel efficiency
2019,420070.397356,572187.564314
2020,444659.884031,590081.360666
2021,462077.437092,601559.755165
2022,474372.180429,608483.137683
2023,483593.237932,612711.955636
2024,490765.171545,615175.291939
2025,499986.229048,619596.544805
2026,511256.410441,625973.486006
2027,519452.905999,629646.839457
2028,527649.401557,633408.739726
2029,537895.021005,639119.951859
2030,543017.830729,640258.509061
2031,554288.012121,647068.05197
2032,565558.193514,653958.1279
2033,576828.374906,660926.84927
2034,588098.556299,667972.373068
2035,596295.051857,672298.639117
2036,607565.233249,679492.409476
2037,614737.166863,683032.027658
2038,627031.9102,691298.596964
