year,Base case diesel consumed,Modeled residential energy efficiency
2017,630.283154558,498.688134438
2018,642.998553674,511.403533554
2019,649.356253231,517.761233111
2020,662.071652346,530.476632226
2021,668.429351904,536.834331784
2022,674.787051461,543.192031341
2023,681.144751019,549.549730899
2024,687.502450577,555.907430457
2025,700.217849692,568.622829572
2026,706.575549249,574.980529129
2027,712.933248807,581.338228687
2028,719.290948364,587.695928244
2029,725.648647922,594.053627802
2030,732.00634748,600.41132736
2031,738.364047037,606.769026917
