year,Base case diesel consumed,Modeled non-residential ashp
2017,107994.593422,63821.3878294
2018,107994.593422,63821.3878294
2019,107994.593422,63821.3878294
2020,107994.593422,63821.3878294
2021,107994.593422,63821.3878294
2022,107994.593422,63821.3878294
2023,107994.593422,63821.3878294
2024,107994.593422,63821.3878294
2025,107994.593422,63821.3878294
2026,107994.593422,63821.3878294
2027,107994.593422,63821.3878294
2028,107994.593422,63821.3878294
2029,107994.593422,63821.3878294
2030,107994.593422,63821.3878294
2031,107994.593422,63821.3878294
