year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.0
2001,,,1.25
2004,,1.13,1.25
2005,,1.57,2.5
2006,,2.66,1.25
2008,,,2.52
2009,,3.41,2.0
2010,,3.06,1.92
2011,,3.03,2.3
2012,,3.42,2.05
2013,,5.48,2.05
2014,,,
2016,start of forecast,2.68,2.68
2017,,3.2,3.2
2018,,3.58,3.58
2019,,4.1,4.1
2020,,4.34,4.34
2021,,4.51,4.51
2022,,4.63,4.63
2023,,4.72,4.72
2024,,4.79,4.79
2025,,4.88,4.88
2026,,4.99,4.99
2027,,5.07,5.07
2028,,5.15,5.15
2029,,5.25,5.25
2030,,5.3,5.3
2031,,5.41,5.41
2032,,5.52,5.52
2033,,5.63,5.63
2034,,5.74,5.74
2035,,5.82,5.82
2036,,5.93,5.93
2037,,6.0,6.0
2038,,6.12,6.12
2039,,6.21,6.21
2040,,6.33,6.33
