year,Base case cost,Modeled solar power (pv)
2016,274582.601199,282949.22766
2017,327859.822327,335184.566376
2018,366793.176228,373311.45521
2019,420070.397356,425582.653847
2020,444659.884031,449610.52601
2021,462077.437092,466583.380973
2022,474372.180429,478517.656594
2023,483593.237932,487430.793532
2024,490765.171545,494331.388215
2025,499986.229048,503258.364369
2026,511256.410441,514212.283153
2027,519452.905999,522142.807505
2028,527649.401557,530079.635579
2029,537895.021005,540043.447783
2030,543017.830729,544961.149018
2031,554288.012121,555947.881451
2032,565558.193514,566941.067999
2033,576828.374906,577940.577827
2034,588098.556299,588946.282868
2035,596295.051857,596924.838059
