year,Base case cost,Modeled solar power (pv)
2016,151280.041972,158121.950296
2017,181633.854011,187813.249629
2018,203676.090348,209344.797263
2019,234688.863114,239718.416831
2020,250707.678169,255350.229633
2021,261753.073837,266095.954691
2022,270692.396339,274775.859672
2023,277486.628261,281349.987276
2024,283593.286688,287252.776783
2025,289751.968329,293212.459656
2026,298233.486536,301467.041797
2027,305270.493463,308303.921166
2028,310836.977504,313696.458866
2029,318756.644984,321414.540895
2030,324422.840188,326915.51593
2031,332468.230439,334768.364887
2032,341365.934368,343467.643957
2033,349955.834273,351863.693892
2034,358608.162036,360326.651513
2035,364149.501523,365723.568007
