year,Base case cost,Modeled non-residential energy efficiency
2017,608701.166117,632462.042665
2018,642411.491454,661243.195864
2019,690070.916931,702781.142278
2020,713319.417164,722118.545689
2021,728430.942315,734084.299894
2022,740055.192431,742914.513518
2023,748192.167513,748608.195183
2024,755166.717582,753282.938411
2025,762141.267652,757997.078739
2026,772603.092757,765927.535739
2027,780740.067838,771777.002787
2028,786552.192896,775544.599226
2029,795851.59299,782525.870107
2030,801663.718048,786364.289663
2031,810963.118141,793414.723704
