year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,44574.66,382059.24,411536.69,59318.59,226641.92,222909.14
2018,47187.64,404265.04,441422.95,62382.48,238146.45,237347.18
2019,50876.72,435659.44,481890.32,66700.99,254411.48,256893.89
2020,52690.49,450973.78,505859.89,68840.61,262345.63,268345.8
2021,53878.86,460928.11,524400.61,70253.17,267502.84,277128.91
2022,54799.58,468585.28,540687.46,71354.95,271469.91,284798.73
2023,55452.08,473945.3,554608.61,72144.73,274246.87,291308.43
2024,56015.79,478539.6,575802.72,72831.9,276627.12,301091.99
2025,56579.93,483133.9,589237.65,73519.95,279007.36,307341.57
2026,57413.77,490025.36,605585.01,74523.01,282577.74,314980.18
2027,58068.2,495385.38,620288.97,75316.74,285354.69,321817.63
2028,58543.17,499213.96,633274.96,75901.05,287338.23,327822.7
2029,59292.08,505339.7,649260.36,76810.18,290511.89,335253.21
2030,59770.91,509168.29,662532.15,77403.23,292495.43,341377.94
2031,60518.48,515294.02,678877.89,78308.96,295669.1,348959.32
