year,Base case cost,Modeled wind power
2019,872478.36697,1207299.86011
2020,916581.669037,1235722.54804
2021,945679.683156,1251564.61855
2022,968698.255565,1262368.17016
2023,984043.970505,1266810.50128
2024,995553.25671,1268171.70021
2025,1010898.97165,1273016.95297
2026,1028162.90096,1279699.10326
2027,1043878.26117,1285298.25793
2028,1057310.51821,1289075.43297
2029,1074961.08017,1296700.52144
2030,1084558.94696,1297552.62017
2031,1103754.68053,1306796.6358
2032,1121427.66582,1314962.24734
2033,1141033.81437,1324949.96698
2034,1160243.13785,1334701.67102
2035,1171768.73193,1338029.57989
2036,1190978.05541,1348091.68368
2037,1202503.64949,1351722.71739
2038,1223633.90531,1363726.05035
