year,Base case cost,Modeled non-residential energy efficiency
2017,1825030.16825,1721901.20062
2018,1918293.30167,1800473.3094
2019,2042644.14625,1906679.36009
2020,2102228.92594,1955604.81095
2021,2141088.56486,1986261.26037
2022,2172176.27601,2010121.22705
2023,2192901.41677,2024887.71405
2024,2208445.27234,2035148.55511
2025,2229170.4131,2050081.48704
2026,2252486.19646,2067389.655
2027,2273211.33722,2082481.32144
2028,2291345.83539,2095354.64814
2029,2314661.61875,2112892.62314
2030,2327614.83172,2121323.92772
2031,2353521.25767,2141301.19838
