year,Base case diesel consumed,Modeled residential ashp
2017,28790.4489784,-79497.1004092
2018,29062.3132153,-79225.2361723
2019,29062.3132153,-79225.2361723
2020,29062.3132153,-79225.2361723
2021,29062.3132153,-79225.2361723
2022,29062.3132153,-79225.2361723
2023,29062.3132153,-79225.2361723
2024,29062.3132153,-79225.2361723
2025,29062.3132153,-79225.2361723
2026,29062.3132153,-79225.2361723
2027,29334.1774522,-78953.3719354
2028,29334.1774522,-78953.3719354
2029,29334.1774522,-78953.3719354
2030,29334.1774522,-78953.3719354
2031,29334.1774522,-78953.3719354
