year,Base case diesel consumed,Modeled residential energy efficiency
2017,108287.549496,84490.0898041
2018,109310.093883,85512.6341914
2019,109310.093883,85512.6341914
2020,109310.093883,85512.6341914
2021,109310.093883,85512.6341914
2022,109310.093883,85512.6341914
2023,109310.093883,85512.6341914
2024,109310.093883,85512.6341914
2025,109310.093883,85512.6341914
2026,109310.093883,85512.6341914
2027,110332.63827,86535.1785786
2028,110332.63827,86535.1785786
2029,110332.63827,86535.1785786
2030,110332.63827,86535.1785786
2031,110332.63827,86535.1785786
