year,Base case cost,Modeled solar power (pv)
2016,614874.340381,639702.675231
2017,710901.252398,733838.029975
2018,780160.13863,801590.547964
2019,872478.36697,892135.535756
2020,916581.669037,935113.100494
2021,945679.683156,963303.805268
2022,968698.255565,985507.637736
2023,984043.970505,1000152.97693
2024,995553.25671,1011026.03852
2025,1010898.97165,1025703.89446
2026,1028162.90096,1042292.49197
2027,1043878.26117,1057371.64449
2028,1057310.51821,1070205.91308
2029,1074961.08017,1087227.34544
2030,1084558.94696,1096301.5619
2031,1103754.68053,1114874.4821
2032,1121427.66582,1131961.56939
2033,1141033.81437,1150973.68013
2034,1160243.13785,1169602.97777
2035,1171768.73193,1180649.25696
