year,annotation,Average Load
2003,,188.0
2004,,188.0
2005,,199.0
2006,,195.0
2007,,188.0
2008,,197.0
2009,,207.0
2010,,209.0
2011,,203.0
2012,,210.0
2013,,212.0
2014,start of forecast,211.0
2015,,214.0
2016,,216.0
2017,,218.0
2018,,221.0
2019,,223.0
2020,,226.0
2021,,228.0
2022,,230.0
2023,,233.0
2024,,235.0
2025,,238.0
2026,,240.0
2027,,242.0
2028,,245.0
2029,,247.0
2030,,250.0
2031,,252.0
2032,,254.0
2033,,256.0
2034,,258.0
2035,,260.0
2036,,262.0
2037,,264.0
2038,,266.0
2039,,268.0
2040,,270.0
