year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,1967850
2004,,0,0,0,0,0,1989341
2005,,0,0,0,0,0,1909284
2006,,0,0,0,0,0,1851739
2007,,0,0,0,0,0,1834665
2008,,0,0,0,0,0,1902018
2009,,0,0,66821,0,0,1833886
2010,,0,0,216565,0,0,1633992
2011,,0,0,387204,0,0,1606092
2012,,0,0,453598,0,0,1550971
2013,,0,0,482849,0,0,1548180
2014,start of forecast,0,0,441217,0,0,1597783
2015,,0,0,459221,0,0,1601779
2016,,0,0,461096,0,0,1622904
2017,,0,0,453845,0,0,1653155
2018,,0,0,458054,0,0,1671946
2019,,0,0,457665,0,0,1696335
2020,,0,0,456521,0,0,1721479
2021,,0,0,457413,0,0,1743587
2022,,0,0,457200,0,0,1766800
2023,,0,0,457045,0,0,1789955
2024,,0,0,457219,0,0,1812781
2025,,0,0,457155,0,0,1835845
2026,,0,0,457140,0,0,1858860
2027,,0,0,457171,0,0,1881829
2028,,0,0,457155,0,0,1903845
2029,,0,0,457155,0,0,1928845
2030,,0,0,457160,0,0,1952840
2031,,0,0,457157,0,0,1975843
2032,,0,0,457158,0,0,1995842
2033,,0,0,457158,0,0,2014842
2034,,0,0,457158,0,0,2033842
2035,,0,0,457158,0,0,2052842
2036,,0,0,457158,0,0,2073842
2037,,0,0,457158,0,0,2094842
2038,,0,0,457158,0,0,2115842
2039,,0,0,457158,0,0,2134842
2040,,0,0,457158,0,0,2151842
