year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,123727.312695,91357.5913944
2018,123727.312695,91357.5913944
2019,123727.312695,91357.5913944
2020,123727.312695,91357.5913944
2021,123727.312695,91357.5913944
2022,123727.312695,91357.5913944
2023,123727.312695,91357.5913944
2024,123727.312695,91357.5913944
2025,123727.312695,91357.5913944
2026,123727.312695,91357.5913944
2027,123727.312695,91357.5913944
2028,123727.312695,91357.5913944
2029,123727.312695,91357.5913944
2030,123727.312695,91357.5913944
2031,123727.312695,91357.5913944
