year,Base case cost,Modeled water and wastewater efficiency
2017,159189.095142,131063.1574
2018,170761.557172,136874.002797
2019,185076.092423,144126.222125
2020,194435.504599,148808.416002
2021,202373.88407,152747.08117
2022,209161.493844,156089.996893
2023,215609.560645,159258.477061
2024,221512.488111,162156.964736
2025,227719.73646,165223.968103
2026,234284.380801,168490.965648
2027,240497.227417,171578.275479
2028,246395.365037,174510.392254
2029,253632.026576,178220.124059
2030,259803.212781,181372.694887
2031,266850.700199,184978.142247
