year,Base case cost,Modeled wind power
2019,405631.06527,549370.738224
2020,434011.379764,570134.888575
2021,454198.216519,583848.194174
2022,468604.469948,592711.800226
2023,482067.049073,600931.874505
2024,492444.511064,606574.372367
2025,504452.097515,613723.894921
2026,518121.566467,622410.174682
2027,530108.928915,629706.288829
2028,540708.438056,635904.558859
2029,554964.235725,645418.67386
2030,564758.446719,651176.527025
2031,578989.651056,660817.76658
2032,594348.757871,671450.58909
2033,609832.501839,682279.53562
2034,625444.12682,693306.174606
2035,636759.042909,700732.846261
2036,652902.60878,712426.178683
2037,662826.543443,718802.985346
2038,681116.708326,732561.904735
