year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,140686.32,12121.65,171332.25,208450.75
2018,141648.69,12438.2,171332.25,212178.42
2019,142326.69,12749.07,171332.25,217148.64
2020,143712.38,13049.74,171332.25,220876.31
2021,144649.11,13336.44,171332.25,224603.97
2022,145529.34,13614.53,171332.25,229574.2
2023,146524.94,13883.96,171332.25,233301.86
2024,147438.48,14151.98,171332.25,237029.53
2025,148368.26,14416.1,171332.25,240757.2
2026,149314.57,14678.52,171332.25,244484.87
2027,150172.5,14934.25,171332.25,248212.53
2028,151035.88,15186.62,171332.25,251940.2
2029,152045.0,15474.98,171332.25,255667.87
2030,153051.07,15755.34,171332.25,259395.54
2031,153986.61,16023.66,171332.25,263123.2
2032,154778.32,,,266850.87
2033,155569.52,,,269335.98
2034,156361.03,,,273063.65
2035,157224.46,,,276791.32
2036,158087.8,,,280518.98
