year,annotation,diesel generation efficiency
2002,,12.77
2003,,12.79
2004,,12.55
2005,,12.19
2006,,12.42
2007,,12.35
2008,,13.37
2009,,14.2
2010,,14.51
2011,,12.62
2012,,13.75
2013,,13.63
2014,,13.97
2015,,14.1
2016,start of forecast,13.9
2017,,13.9
2018,,13.9
2019,,13.9
2020,,13.9
2021,,13.9
2022,,13.9
2023,,13.9
2024,,13.9
2025,,13.9
2026,,13.9
2027,,13.9
2028,,13.9
2029,,13.9
2030,,13.9
2031,,13.9
2032,,13.9
2033,,13.9
2034,,13.9
2035,,13.9
2036,,13.9
2037,,13.9
2038,,13.9
2039,,13.9
2040,,13.9
