year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,56724.01,801759.74,1010182.07,102465.09,594705.46,557066.06
2018,61563.61,848019.44,1085535.05,109197.94,616091.45,585976.95
2019,67691.99,909699.05,1189136.93,117384.1,644606.11,625483.62
2020,71506.85,938825.54,1247099.14,122928.66,658071.36,648032.83
2021,74678.22,959385.41,1295098.56,127695.66,667576.25,667013.11
2022,77324.58,973091.99,1342123.52,131836.92,673912.84,686293.28
2023,79826.69,985085.24,1380247.12,135782.87,679457.35,701731.26
2024,82075.28,993651.86,1414152.01,139437.21,683417.72,715670.12
2025,84472.02,1003931.79,1450837.24,143247.71,688170.17,730564.01
2026,87037.19,1015925.05,1490414.64,147247.19,693714.68,746447.15
2027,89449.58,1026204.98,1528031.78,151047.65,698467.12,761626.39
2028,91720.51,1034771.6,1563576.84,154674.86,702427.49,776067.5
2029,94545.36,1046764.85,1604608.03,159086.67,707972.01,792395.8
2030,96888.43,1053618.14,1638379.22,162914.78,711140.31,806190.09
2031,99660.12,1065611.4,1680342.33,167190.58,716684.82,822803.75
2032,,,1725495.81,,,840497.99
2033,,,1763111.78,,,854871.3
2034,,,1809358.71,,,872900.36
2035,,,1847898.34,,,888258.43
2036,,,1895226.29,,,906618.52
