year,Base case cost,"Teller wind-final design, permitting & construction",Modeled wind power
2019,205628.014685,397181.967672,324463.751936
2020,218629.872342,391880.055429,329273.939912
2021,227501.616327,386167.920419,331462.364995
2022,234313.056195,380341.257221,332388.712754
2023,239750.959986,374492.747017,332501.649694
2024,243805.822259,368608.858722,331789.604262
2025,248580.72161,363018.845937,331645.679898
2026,254786.18968,357839.436541,332542.452003
2027,259311.571232,352316.084483,332311.284461
2028,263433.763705,347132.061414,331991.209815
2029,268991.277615,342352.408486,332710.945948
2030,273148.323368,337497.702932,332576.854619
2031,279459.935517,333169.746386,333962.291083
2032,285082.403267,328881.356562,334965.778884
2033,291120.734017,324554.359818,336218.68477
2034,297500.468486,320701.085802,337880.905431
2035,302135.162598,316411.918375,338336.376785
2036,308556.087307,312855.241574,340170.872078
2037,312496.09218,308710.770432,340295.652162
2038,318956.622889,305437.274736,342294.765291
