year,Base case cost,"Brevig mission (teller, main stem bluestone river)",Nome (tuksuk channel)
2021,227501.616327,1329168.28394,483277843.768
2022,234313.056195,1308688.15027,473751194.157
2023,239750.959986,1288140.83249,464462967.236
2024,243805.822259,1267503.67571,455407961.781
2025,248580.72161,1247748.94818,446555784.73
2026,254786.18968,1229201.98477,437893053.318
2027,259311.571232,1210230.50966,429448389.98
2028,263433.763705,1191726.80488,421209207.847
2029,268991.277615,1174399.73219,413145307.928
2030,273148.323368,1156892.72303,405285919.798
2031,279459.935517,1140886.39131,397584490.462
2032,285082.403267,1125016.77537,390070450.09
2033,291120.734017,1109632.94778,382722425.757
2034,297500.468486,1095022.73268,375545389.544
2035,302135.162598,1079834.86895,368551539.58
2036,308556.087307,1066100.10923,361703933.067
2037,312496.09218,1051404.92494,355040199.022
2038,318956.622889,1038505.38855,348506761.52
2039,324719.295879,1025664.52947,342133332.983
2040,331590.936867,1013562.20672,335890741.672
2041,331953.727826,998671.037379,329868463.604
2042,332679.309745,984500.17369,323987703.973
2043,333042.100704,970315.654348,318244428.806
2044,333767.682623,956834.878649,312636132.983
2045,334130.473583,943324.273517,307158935.816
2046,334493.264542,930138.826097,301810118.958
2047,335218.846461,917633.706524,296587036.308
2048,335581.63742,905075.890447,291486023.829
2049,335944.428379,892820.901139,286504574.849
2050,336670.010298,881224.432027,281640249.879
2051,336670.010298,869191.179083,276889223.955
2052,336670.010298,857439.955457,272249550.182
2053,336670.010298,845964.151229,267718618.8
2054,336670.010298,834757.311086,263293881.092
2055,336670.010298,823813.131266,258972848.178
2056,336670.010298,813125.455667,254753089.474
2057,336670.010298,802688.272431,250632231.352
2058,336670.010298,792495.710773,246607955.88
2059,336670.010298,782542.037203,242677999.334
2060,336670.010298,772821.652824,238840151.132
2061,336670.010298,763329.090033,235092252.529
2062,336670.010298,754059.009106,231432195.268
2063,336670.010298,745006.195726,227857920.61
2064,336670.010298,736165.557684,224367418.024
2065,336670.010298,727532.122174,220958724.122
2066,336670.010298,719101.03261,217629921.406
2067,336670.010298,710867.546862,214379137.564
2068,336670.010298,702827.033369,211204543.942
2069,336670.010298,694974.969494,208104354.891
2070,336670.010298,687306.938338,205076826.51
