year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,3.54
2001,,,2.77
2004,,,3.76
2005,,,3.38
2006,,2.28,4.79
2008,,3.46,6.29
2009,,4.42,6.45
2010,,2.9,5.05
2011,,2.9,5.44
2012,,3.42,5.96
2013,,4.23,5.31
2014,,,5.4
2016,,1.94,4.4
2017,,2.31,4.77
2018,,2.59,5.05
2019,,2.96,5.42
2020,,3.14,5.6
2021,,3.26,5.72
2022,,3.35,5.81
2023,,3.42,5.88
2024,,3.47,5.93
2025,,3.53,5.99
2026,,3.61,6.07
2027,,3.67,6.13
2028,,3.72,6.18
2029,,3.79,6.25
2030,,3.84,6.3
2031,,3.92,6.38
2032,,3.99,6.45
2033,,4.07,6.53
2034,,4.15,6.61
2035,,4.21,6.67
2036,,4.29,6.75
2037,,4.34,6.8
2038,,4.42,6.88
2039,,4.49,6.95
2040,,4.58,7.04
