year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,103305.344853,76281.7351913
2018,103305.344853,76281.7351913
2019,103305.344853,76281.7351913
2020,103305.344853,76281.7351913
2021,103305.344853,76281.7351913
2022,103305.344853,76281.7351913
2023,103305.344853,76281.7351913
2024,103305.344853,76281.7351913
2025,103305.344853,76281.7351913
2026,103305.344853,76281.7351913
2027,103305.344853,76281.7351913
2028,103305.344853,76281.7351913
2029,103305.344853,76281.7351913
2030,103305.344853,76281.7351913
2031,103305.344853,76281.7351913
