year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,818324
2004,,0,0,0,0,0,0
2005,,0,0,0,0,0,0
2006,,0,0,0,0,0,847134
2007,,0,0,0,0,0,821031
2008,,0,0,0,0,0,876226
2009,,0,0,0,0,0,897724
2010,,0,0,0,0,0,912290
2011,,0,0,0,0,0,870446
2012,,0,0,0,0,0,857032
2013,,0,0,0,0,0,864934
2014,start of forecast,0,0,0,0,0,868000
2015,,0,0,0,0,0,870000
2016,,0,0,0,0,0,872000
2017,,0,0,0,0,0,874000
2018,,0,0,0,0,0,875000
2019,,0,0,0,0,0,877000
2020,,0,0,0,0,0,879000
2021,,0,0,0,0,0,881000
2022,,0,0,0,0,0,883000
2023,,0,0,0,0,0,885000
2024,,0,0,0,0,0,887000
2025,,0,0,0,0,0,889000
2026,,0,0,0,0,0,891000
2027,,0,0,0,0,0,892000
2028,,0,0,0,0,0,894000
2029,,0,0,0,0,0,896000
2030,,0,0,0,0,0,898000
2031,,0,0,0,0,0,900000
2032,,0,0,0,0,0,902000
2033,,0,0,0,0,0,903000
2034,,0,0,0,0,0,905000
2035,,0,0,0,0,0,906000
2036,,0,0,0,0,0,908000
2037,,0,0,0,0,0,909000
2038,,0,0,0,0,0,911000
2039,,0,0,0,0,0,913000
2040,,0,0,0,0,0,914000
