year,Base case diesel consumed,Modeled solar power
2020,69627.3478797,68625.1432799
2021,69785.7718794,68791.5849164
2022,69944.1958791,68957.9624118
2023,70102.6198789,69124.2762793
2024,70261.0438786,69290.5270278
2025,70419.4678783,69456.7151624
2026,70577.891878,69622.8411838
2027,70657.1038779,69709.6935892
2028,70815.5278776,69875.6968713
2029,70973.9518773,70041.639519
2030,71132.3758771,70207.5220176
2031,71290.7998768,70373.3448482
2032,71449.2238765,70539.1084882
2033,71528.4358764,70625.6014112
2034,71686.8598761,70791.2480866
2035,71766.071876,70877.6249808
2036,71924.4958757,71043.1565557
2037,72003.7078756,71129.4192701
2038,72162.1318753,71294.8375787
2039,72320.555875,71460.1999328
