year,Base case diesel consumed,"Teller wind-final design, permitting & construction",Modeled wind power
2019,69468.9238799,13160.0048007,46945.3562482
2020,69627.3478797,13318.4288004,47103.780248
2021,69785.7718794,13476.8528001,47262.2042477
2022,69944.1958791,13635.2767999,47420.6282474
2023,70102.6198789,13793.7007996,47579.0522471
2024,70261.0438786,13952.1247993,47737.4762469
2025,70419.4678783,14110.548799,47895.9002466
2026,70577.891878,14268.9727988,48054.3242463
2027,70657.1038779,14348.1847986,48133.5362462
2028,70815.5278776,14506.6087984,48291.9602459
2029,70973.9518773,14665.0327981,48450.3842456
2030,71132.3758771,14823.4567978,48608.8082454
2031,71290.7998768,14981.8807975,48767.2322451
2032,71449.2238765,15140.3047973,48925.6562448
2033,71528.4358764,15219.5167971,49004.8682447
2034,71686.8598761,15377.9407968,49163.2922444
2035,71766.071876,15457.1527967,49242.5042443
2036,71924.4958757,15615.5767964,49400.928244
2037,72003.7078756,15694.7887963,49480.1402439
2038,72162.1318753,15853.212796,49638.5642436
