year,Base case diesel consumed,"Brevig mission (teller, main stem bluestone river)",Nome (tuksuk channel)
2021,69785.7718794,34217.7331916,0.0
2022,69944.1958791,34376.1571913,158.423999726
2023,70102.6198789,34534.581191,316.847999452
2024,70261.0438786,34693.0051908,475.271999179
2025,70419.4678783,34851.4291905,633.695998905
2026,70577.891878,35009.8531902,792.119998631
2027,70657.1038779,35089.0651901,871.331998494
2028,70815.5278776,35247.4891898,1029.75599822
2029,70973.9518773,35405.9131895,1188.17999795
2030,71132.3758771,35564.3371893,1346.60399767
2031,71290.7998768,35722.761189,1505.0279974
2032,71449.2238765,35881.1851887,1663.45199713
2033,71528.4358764,35960.3971886,1742.66399699
2034,71686.8598761,36118.8211883,1901.08799671
2035,71766.071876,36198.0331882,1980.29999658
2036,71924.4958757,36356.4571879,2138.7239963
2037,72003.7078756,36435.6691877,2217.93599617
2038,72162.1318753,36594.0931875,2376.35999589
2039,72320.555875,36752.5171872,2534.78399562
2040,72399.7678749,36831.7291871,2613.99599548
2041,72478.9798747,36910.9411869,2693.20799535
2042,72637.4038745,37069.3651867,2851.63199507
2043,72716.6158743,37148.5771865,2930.84399493
2044,72875.0398741,37307.0011862,3089.26799466
2045,72954.2518739,37386.2131861,3168.47999452
2046,73033.4638738,37465.425186,3247.69199439
2047,73191.8878735,37623.8491857,3406.11599411
2048,73271.0998734,37703.0611856,3485.32799398
2049,73350.3118732,37782.2731854,3564.53999384
2050,73508.735873,37940.6971851,3722.96399357
2051,73508.735873,37940.6971851,3722.96399357
2052,73508.735873,37940.6971851,3722.96399357
2053,73508.735873,37940.6971851,3722.96399357
2054,73508.735873,37940.6971851,3722.96399357
2055,73508.735873,37940.6971851,3722.96399357
2056,73508.735873,37940.6971851,3722.96399357
2057,73508.735873,37940.6971851,3722.96399357
2058,73508.735873,37940.6971851,3722.96399357
2059,73508.735873,37940.6971851,3722.96399357
2060,73508.735873,37940.6971851,3722.96399357
2061,73508.735873,37940.6971851,3722.96399357
2062,73508.735873,37940.6971851,3722.96399357
2063,73508.735873,37940.6971851,3722.96399357
2064,73508.735873,37940.6971851,3722.96399357
2065,73508.735873,37940.6971851,3722.96399357
2066,73508.735873,37940.6971851,3722.96399357
2067,73508.735873,37940.6971851,3722.96399357
2068,73508.735873,37940.6971851,3722.96399357
2069,73508.735873,37940.6971851,3722.96399357
2070,73508.735873,37940.6971851,3722.96399357
